Developer,Genre,Total_Global_Sales
Ubisoft Romania,Action,1.31
Blue Fang Games,Simulation,1.31
Activision,Racing,1.3
Falcom,Role-Playing,1.3
Runecraft,Shooter,1.3
SCEA,Misc,1.3
Good-Feel,Platform,1.3
Ubisoft Sofia,Action,1.29
Pocket Studios,Platform,1.29
Creatures Inc.,Role-Playing,1.29
Chris Sawyer,Strategy,1.29
Activision,Action,1.28
"THQ, Yuke's",Action,1.27
"Nintendo, Spike Chunsoft",Role-Playing,1.27
Nex Entertainment,Action,1.27
3G Studios,Sports,1.27
"Opus, Project Sora",Action,1.27
Tamsoft,Fighting,1.27
EA Games,Simulation,1.27
Altron,Strategy,1.27
Avalanche Software,Adventure,1.26
Dimps Corporation,Action,1.26
"Nintendo, Nintendo Software Technology",Puzzle,1.26
SCEE London Studio,Simulation,1.26
Altron,Racing,1.25
"Spike Chunsoft Co. Ltd., Spike Chunsoft",Role-Playing,1.25
"Capcom, Pipeworks Software, Inc.",Action,1.25
"Tarsier Studios, Double Eleven",Platform,1.25
Sting,Role-Playing,1.25
Creative Assembly,Action,1.24
"id Software, Raven Software",Shooter,1.24
Yager,Shooter,1.24
505 Games,Misc,1.24
PopCap,Puzzle,1.23
Magic Pockets,Action,1.23
h.a.n.d. Inc.,Adventure,1.23
Crave,Misc,1.23
Dancing Dots,Simulation,1.23
Project Aces,Action,1.23
Tri-Crescendo,Role-Playing,1.22
neo Software,Shooter,1.22
Gorilla Systems,Adventure,1.22
Shaba Games,Action,1.21
"Ascaron Entertainment GmbH, Ascaron Entertainment",Role-Playing,1.21
Matrix Software,Simulation,1.21
Spicy Horse,Adventure,1.2
Gorilla Games,Sports,1.2
Relic,Shooter,1.2
Monolith Productions,Shooter,1.2
Pocketeers,Racing,1.2
High Impact Games,Platform,1.2
Piranha Bytes,Role-Playing,1.2
Destineer,Sports,1.2
Locomotive Games,Racing,1.2
Eden Studios,Racing,1.19
n-Space,Action,1.19
Amaze Entertainment,Platform,1.19
Aspect,Action,1.19
Blizzard North,Role-Playing,1.19
Nintendo EAD Tokyo,Puzzle,1.19
SCE Japan Studio,Misc,1.18
Black Box,Sports,1.18
RED Entertainment,Role-Playing,1.18
Bigbig Studios,Racing,1.18
"Omega Force, Tecmo Koei Games",Action,1.18
Kouyousha,Sports,1.18
Maxis,Strategy,1.17
Creatures Inc.,Adventure,1.17
"CyberConnect2, Racjin",Fighting,1.17
Papaya Studios,Platform,1.16
Konami,Shooter,1.16
Black Lantern Studios,Platform,1.16
Page 44 Studios,Racing,1.15
Atomic Planet Entertainment,Platform,1.14
n-Space,Role-Playing,1.14
Barnhouse Effect,Racing,1.14
Digital Illusions,Racing,1.14
Vingt-et-un Systems,Action,1.14
Ambrella,Action,1.14
Infinite Interactive,Puzzle,1.14
Relic,Strategy,1.13
Trion Worlds,Shooter,1.13
"Level 5, Brownie Brown",Role-Playing,1.13
United Front Games,Racing,1.12
Exakt,Racing,1.12
Nerve Software,Shooter,1.12
Ruffian Games,Shooter,1.12
Pandemic Studios,Sports,1.12
Pacific Coast Power & Light,Racing,1.12
Incinerator Games,Action,1.11
"EA Sports, EA Canada",Sports,1.11
Silicon Knights,Action,1.11
Jester Interactive,Racing,1.11
Pacific Coast Power & Light,Action,1.11
"LucasArts, Krome Studios",Action,1.11
Longtail Studios,Misc,1.11
Take-Two Interactive,Sports,1.1
TOSE,Strategy,1.1
High Voltage Software,Platform,1.1
2K Czech,Sports,1.1
Rage Software,Fighting,1.1
Creat Studios,Racing,1.09
Magic Pockets,Adventure,1.09
"EA Redwood Shores, EA Salt Lake",Shooter,1.09
"Mad Doc Software, Rockstar Vancouver",Action,1.09
SEGA Racing Studio,Racing,1.09
Amusement Vision,Adventure,1.09
Ubisoft,Fighting,1.09
Arika,Adventure,1.09
Media Vision,Role-Playing,1.08
Gameloft,Racing,1.08
Vingt-et-un Systems,Sports,1.08
Webfoot Technologies,Fighting,1.08
Novarama,Strategy,1.08
Visual Impact,Simulation,1.08
